year,month,value
1981,2,0.57
1981,3,0.66
1981,4,0.5
1981,5,0.33
1981,6,0.38
1981,7,0.51
1981,8,0.54
1981,9,0.28
1981,10,0.11
1981,11,0.22
1981,12,0.47
1982,1,0.12
1982,2,0.25
1982,3,-0.01
1982,4,0.03
1982,5,0.25
1982,6,0.04
1982,7,0.18
1982,8,0.08
1982,9,0.09
1982,10,0.01
1982,11,0.12
1982,12,0.41
1983,1,0.49
1983,2,0.4
1983,3,0.48
1983,4,0.4
1983,5,0.49
1983,6,0.28
1983,7,0.21
1983,8,0.46
1983,9,0.56
1983,10,0.34
1983,11,0.33
1983,12,0.18
1984,1,0.24
1984,2,0.16
1984,3,0.37
1984,4,0.15
1984,5,0.46
1984,6,0.04
1984,7,0.18
1984,8,0.27
1984,9,0.27
1984,10,0.21
1984,11,0.11
1984,12,0.03
1985,1,0.31
1985,2,0.02
1985,3,0.26
1985,4,0.2
1985,5,0.21
1985,6,0.26
1985,7,0.02
1985,8,0.35
1985,9,0.25
1985,10,0.13
1985,11,0.09
1985,12,0.14
1986,1,0.38
1986,2,0.51
1986,3,0.39
1986,4,0.43
1986,5,0.33
1986,6,0.12
1986,7,0.14
1986,8,0.2
1986,9,0.02
1986,10,0.11
1986,11,0.12
1986,12,0.2
1987,1,0.43
1987,2,0.53
1987,3,0.25
1987,4,0.38
1987,5,0.29
1987,6,0.55
1987,7,0.58
1987,8,0.26
1987,9,0.35
1987,10,0.33
1987,11,0.29
1987,12,0.56
1988,1,0.66
1988,2,0.48
1988,3,0.62
1988,4,0.49
1988,5,0.61
1988,6,0.58
1988,7,0.44
1988,8,0.56
1988,9,0.55
1988,10,0.54
1988,11,0.18
1988,12,0.38
1989,1,0.25
1989,2,0.45
1989,3,0.45
1989,4,0.42
1989,5,0.18
1989,6,0.15
1989,7,0.48
1989,8,0.52
1989,9,0.53
1989,10,0.43
1989,11,0.23
1989,12,0.39
1990,1,0.52
1990,2,0.41
1990,3,0.85
1990,4,0.64
1990,5,0.55
1990,6,0.46
1990,7,0.61
1990,8,0.42
1990,9,0.31
1990,10,0.51
1990,11,0.54
1990,12,0.48
1991,1,0.5
1991,2,0.63
1991,3,0.49
1991,4,0.74
1991,5,0.44
1991,6,0.7
1991,7,0.64
1991,8,0.57
1991,9,0.63
1991,10,0.37
1991,11,0.34
1991,12,0.34
1992,1,0.51
1992,2,0.43
1992,3,0.55
1992,4,0.24
1992,5,0.28
1992,6,0.31
1992,7,0.08
1992,8,0.14
1992,9,-0.02
1992,10,0.09
1992,11,0.03
1992,12,0.25
1993,1,0.4
1993,2,0.42
1993,3,0.34
1993,4,0.31
1993,5,0.29
1993,6,0.28
1993,7,0.4
1993,8,0.22
1993,9,0.1
1993,10,0.24
1993,11,0.09
1993,12,0.2
1994,1,0.4
1994,2,0.09
1994,3,0.28
1994,4,0.54
